Country,Cases,Deaths,Category,Asof
United States,30531,43,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Brazil,10949,16,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Spain,7559,3,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
France,4146,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Colombia,4090,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Mexico,4020,29,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Peru,3800,20,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
United Kingdom,3753,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Germany,3691,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Canada,1496,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Chile,1441,2,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Netherlands,1265,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Argentina,1129,2,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Italy,957,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Portugal,953,1,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Nigeria,842,9,Has historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Belgium,795,2,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Democratic Republic of the Congo,739,3,Has historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Switzerland,552,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Ecuador,533,3,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Guatemala,405,1,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Austria,328,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Bolivia,265,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Israel,262,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Sweden,260,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Panama,235,1,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Ireland,229,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Costa Rica,225,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Poland,217,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Denmark,196,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Japan,169,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Taiwan,148,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
